ID;SKU;Name;Published;Short description;description;In stock?;Stock;Categories
17;MH01;Chaz Kangeroo Hoodie;1;This is a variable product called a Chaz Kangeroo Hoodie;"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
 Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.";1;52;Clothing>Men>Tops>Hoodies & Sweatshirts>Collections>Eco Friendly
33;MH02;Teton Pullover Hoodie;1;This is a variable product called a Teton Pullover Hoodie;"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.
 Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.";1;70;Clothing>Men>Tops>Hoodies & Sweatshirts
49;MH03;Bruno Compete Hoodie;1;This is a variable product called a Bruno Compete Hoodie;"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.
 Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.";1;63;Clothing>Men>Tops>Hoodies & Sweatshirts>Collections>Eco Friendly
65;MH04;Frankie  Sweatshirt;1;This is a variable product called a Frankie  Sweatshirt;"The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.
 Light green crewneck sweatshirt. Hand pockets. Relaxed fit. Machine wash/dry.";1;60;Clothing>Men>Tops>Hoodies & Sweatshirts>Collections>Eco Friendly
81;MH05;Hollister Backyard Sweatshirt;1;This is a variable product called a Hollister Backyard Sweatshirt;"Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you're raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.
 Cream crewneck sweatshirt with navy sleeves/trim. Relaxed fit.  Ribbed cuffs and hem.  Machine wash/dry.";1;52;Clothing>Men>Tops>Hoodies & Sweatshirts
97;MH06;Stark Fundamental Hoodie;1;This is a variable product called a Stark Fundamental Hoodie;"You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.
 Navy specked full zip hoodie. Ribbed cuffs, banded waist. Side pockets.  Machine wash/dry.";1;42;Clothing>Men>Tops>Hoodies & Sweatshirts
113;MH07;Hero Hoodie;1;This is a variable product called a Hero Hoodie;"Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.
 Full-zip gray and black hoodie. Ribbed hem. Standard fit. Drawcord hood cinch. Water-resistant coating.";1;54;Clothing>Men>Tops>Hoodies & Sweatshirts
129;MH08;Oslo Trek Hoodie;1;This is a variable product called a Oslo Trek Hoodie;"Chilly weather is just an excuse to throw on your toasty, handsome new Oslo Trek Hoodie. It features an adjustable drawstring hood and a kangaroo pocket for extra hand warmth. The ultra-soft, cozy lining will have you wishing for more brisk days.
 Brown hoodie with black detail. Pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Machine wash/dry.";1;42;Clothing>Men>Tops>Hoodies & Sweatshirts
145;MH09;Abominable Hoodie;1;This is a variable product called a Abominable Hoodie;"It took CoolTech weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It's aggressively warm when it needs to be, while maintaining your comfort in milder climes.
 Blue heather hoodie. Relaxed fit.  Moisture-wicking.  Machine wash/dry.";1;69;Clothing>Men>Tops>Hoodies & Sweatshirts
161;MH10;Mach Street Sweatshirt ;1;This is a variable product called a Mach Street Sweatshirt ;"From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech fabric, it's bound to become an everyday part of your active lifestyle
 Navy heather crewneck sweatshirt. LumaTech moisture-wicking fabric. Antimicrobial, odor-resistant. Zip hand pockets. Chafe-resistant flatlock seams. Rib-knit cuffs and hem.";1;62;Clothing>Men>Tops>Hoodies & Sweatshirts
177;MH11;Grayson Crewneck Sweatshirt ;1;This is a variable product called a Grayson Crewneck Sweatshirt ;"The Grayson Crewneck Sweatshirt gives you that ageless, classic look  a style that comes back around nearly every season. What's more, its performance and temp-control values are always in vogue.
 Cream crewneck sweatshirt with black accents. 80% cotton/20% polyester fleece.  Patterned knit hood lining.  Knit cuffs and waist.  Pouch pocket.  Curl edged seam detail";1;64;Clothing>Men>Tops>Hoodies & Sweatshirts
193;MH12;Ajax Full-Zip Sweatshirt ;1;This is a variable product called a Ajax Full-Zip Sweatshirt ;"The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.
 Mint striped full zip hoodie. 100% bonded polyester fleece. Pouch pocket. Rib cuffs and hem.  Machine washable.";1;69;Clothing>Men>Tops>Hoodies & Sweatshirts
209;MH13;Marco Lightweight Active Hoodie;1;This is a variable product called a Marco Lightweight Active Hoodie;"For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona fibers pull moisture away.
 Light blue heather full zip hoodie. Fitted flatlock seams. Matching lining and drawstring.  Machine wash/dry.";1;74;Clothing>Men>Tops>Hoodies & Sweatshirts
225;MJ01;Beaumont Summit Kit;1;This is a variable product called a Beaumont Summit Kit;"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker's paradise package.
 Yellow full zip rain jacket. Full-zip front.  Stand-up collar.  Elasticized cuffs.  Machine wash/dry.";1;42;Clothing>Men>Tops>Jackets
241;MJ02;Hyperion Elements Jacket;1;This is a variable product called a Hyperion Elements Jacket;"Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.
 Lime 1/4 zip pullover. Split pocket.  Thumb holes.  Machine wash/hang to dry.";1;51;Clothing>Men>Tops>Jackets
257;MJ04;Kenobi Trail Jacket;1;This is a variable product called a Kenobi Trail Jacket;"Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.
 Black 1/4 zip pullover with royal zipper.  Adjustable hood and sleeve cuffs.  Machine wash/air dry.";1;47;Clothing>Men>Tops>Jackets>Collections>Eco Friendly
273;MJ07;Orion Two-Tone Fitted Jacket;1;This is a variable product called a Orion Two-Tone Fitted Jacket;"While you're getting fit, you need a fitted jacket to match. Striking color blocking patterns on hood, shoulders and arms are hallmarks of the Orion Two-Tone Fitted Jacket. They provide eye-catching contrast against the rich, torso tones of this 100% polyester, moisture-wicking essential.
 Red full zip fleece with gray insets. Double-knit construction. Full athletic cut. Set in sleeves. Front pouch pocket.";1;72;Clothing>Men>Tops>Jackets
289;MJ08;Lando Gym Jacket;1;This is a variable product called a Lando Gym Jacket;"The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you're plugged in when working out.
 Gray polyester/spandex full zip jacket with orange lining.  Right pocket device storage. Cocona performance fabric.  Machine wash/dry.";1;99;Clothing>Men>Tops>Jackets
305;MJ09;Taurus Elements Shell;1;This is a variable product called a Taurus Elements Shell;"What's a little rain or snow when you're inside the Taurus Elements Shell? This specially engineered Cocona jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.
 Yellow 1/4 zip pullover.  Two chest pockets. Standard fit.  Waterproof, breathable, seam sealed.  Cocona performance fabric.  Machine wash/dry.";1;65;Clothing>Men>Tops>Jackets
321;MJ10;Mars HeatTech Pullover;1;This is a variable product called a Mars HeatTech Pullover;"The Mars HeatTech Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
 Red 1/4 zip pullover. Adjustable VELCRO sleeve cuffs.  Two hand pockets.  Napoleon pocket.  Machine wash/dry";1;66;Clothing>Men>Tops>Jackets
337;MJ11;Typhon Performance Fleece-lined Jacket;1;This is a variable product called a Typhon Performance Fleece-lined Jacket;"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
 Black full-zip flight jacket. Cocona wicking fiber. Machine wash/dry.";1;60;Clothing>Men>Tops>Jackets
353;MJ06;Jupiter All-Weather Trainer ;1;This is a variable product called a Jupiter All-Weather Trainer ;"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
 Relaxed fit.  Hand pockets.  Machine wash/dry. Reflective safety trim.";1;57;Clothing>Men>Tops>Jackets>Collections>Eco Friendly
369;MJ03;Montana Wind Jacket;1;This is a variable product called a Montana Wind Jacket;"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.";1;49;Clothing>Men>Tops>Jackets
385;MJ12;Proteus Fitness Jackshirt;1;This is a variable product called a Proteus Fitness Jackshirt;"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.
 1/4 zip. Stand-up collar.  Machine wash/dry. Quilted inner layer.";1;45;Clothing>Men>Tops>Jackets
